org,sesi,
69199,69537,69199
69200,69539,69200
69201,69541,69201
69202,69542,69202
69204,69543,69204
69206,69545,69206
69207,69547,69207
69208,69549,69208
69209,69550,69209
69210,69551,69210
69211,69553,69211
69212,69554,69212
69214,69555,69214
69215,69556,69215
69216,69558,69216
69218,69559,69218
69219,69560,69219
69221,69565,69221
69222,69568,69222
69223,69569,69223
69225,69570,69225
69226,69571,69226
69228,69572,69228
69229,69573,69229
69230,69574,69230
69231,69576,69231
69232,69577,69232
69233,69579,69233
69235,69581,69235
69236,69583,69236
69237,69584,69237
69239,69783,69239
69240,70096,69240
69241,70097,69241
69243,70098,69243
69257,70099,69257
69258,70100,69258
69259,70102,69259
69260,70107,69260
69514,70108,69514
69517,70109,69517
69518,70112,69518
69519,70113,69519
69521,70115,69521
69523,70116,69523
69524,70118,69524
69525,70125,69525
69526,70127,69526
69527,70129,69527
69529,70133,69529
69530,70140,69530
69531,70145,69531
69533,70147,69533
69534,70150,69534
69535,70154,69535
69536,70155,69536
69537,70160,69537
69539,70162,69539
69541,70163,69541
69542,70168,69542
69543,70170,69543
69545,70174,69545
69547,70177,69547
69549,70178,69549
69550,70201,69550
69551,70368,69551
69553,70369,69553
69554,70371,69554
69555,70373,69555
69556,70374,69556
69558,70375,69558
69559,70376,69559
69560,70377,69560
69564,70379,69564
69565,70380,69565
69568,70381,69568
69569,70384,69569
69570,70385,69570
69571,70387,69571
69572,70388,69572
69573,70392,69573
69574,70515,69574
69576,70516,69576
69577,70517,69577
69579,70518,69579
69581,70519,69581
69583,70520,69583
69584,70522,69584
69585,70523,69585
69587,70524,69587
69588,70525,69588
69589,70527,69589
69590,70528,69590
69591,70529,69591
69592,70531,69592
69593,70536,69593
69596,70537,69596
69597,70539,69597
69598,70540,69598
69599,70541,69599
69600,70542,69600
69601,70543,69601
69602,70546,69602
69603,70547,69603
69604,70548,69604
69605,70549,69605
69606,70551,69606
69607,70552,69607
69608,70553,69608
69609,70554,69609
69610,70555,69610
69611,70556,69611
